Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
2024-05-30,3.33,3.36,3.31,3.32,9913413,-0.010000000000000231,-0.30030030030030724,3.335,0.04999999999999982
2024-05-29,3.39,3.41,3.32,3.32,9654434,-0.07000000000000028,-2.06489675516225,3.365,0.0900000000000003
2024-05-28,3.48,3.5,3.38,3.38,16922020,-0.10000000000000009,-2.8735632183908075,3.44,0.1200000000000001
2024-05-27,3.52,3.54,3.48,3.48,7963633,-0.040000000000000036,-1.1363636363636374,3.51,0.06000000000000005
2024-05-24,3.5,3.55,3.5,3.52,11801280,0.020000000000000018,0.571428571428572,3.525,0.04999999999999982
2024-05-23,3.48,3.54,3.48,3.54,9445461,0.06000000000000005,1.7241379310344844,3.51,0.06000000000000005
2024-05-22,3.52,3.55,3.48,3.49,6807475,-0.029999999999999805,-0.8522727272727216,3.5149999999999997,0.06999999999999984
2024-05-21,3.55,3.65,3.51,3.52,10778050,-0.029999999999999805,-0.8450704225352058,3.58,0.14000000000000012
2024-05-20,3.51,3.58,3.49,3.58,6776758,0.07000000000000028,1.9943019943020026,3.535,0.08999999999999986
2024-05-17,3.49,3.56,3.47,3.52,12689210,0.029999999999999805,0.8595988538681891,3.515,0.08999999999999986
2024-05-16,3.39,3.5,3.37,3.5,15932600,0.10999999999999988,3.244837758112091,3.435,0.1299999999999999
2024-05-15,3.39,3.4,3.34,3.39,8530483,0.0,0.0,3.37,0.06000000000000005
2024-05-14,3.4,3.41,3.38,3.38,6161630,-0.020000000000000018,-0.5882352941176475,3.395,0.03000000000000025
2024-05-13,3.41,3.43,3.38,3.39,8367179,-0.020000000000000018,-0.5865102639296192,3.4050000000000002,0.050000000000000266
2024-05-10,3.43,3.43,3.38,3.39,10340490,-0.040000000000000036,-1.1661807580174937,3.4050000000000002,0.050000000000000266
2024-05-09,3.5,3.5,3.41,3.42,10494730,-0.08000000000000007,-2.285714285714288,3.455,0.08999999999999986
2024-05-08,3.49,3.49,3.46,3.49,7522357,0.0,0.0,3.475,0.03000000000000025
2024-05-07,3.47,3.48,3.45,3.48,6804787,0.009999999999999787,0.28818443804033966,3.465,0.029999999999999805
2024-05-06,3.48,3.49,3.45,3.45,6556334,-0.029999999999999805,-0.8620689655172358,3.47,0.040000000000000036
2024-05-03,3.49,3.49,3.45,3.46,6854560,-0.03000000000000025,-0.859598853868202,3.47,0.040000000000000036
2024-05-02,3.49,3.5,3.47,3.47,6264582,-0.020000000000000018,-0.5730659025787971,3.4850000000000003,0.029999999999999805
2024-05-01,3.5,3.51,3.48,3.49,6076391,-0.009999999999999787,-0.28571428571427965,3.495,0.029999999999999805
2024-04-30,3.52,3.53,3.48,3.49,7800864,-0.029999999999999805,-0.8522727272727216,3.505,0.04999999999999982
2024-04-29,3.5,3.52,3.47,3.52,7740095,0.020000000000000018,0.571428571428572,3.495,0.04999999999999982
2024-04-26,3.5,3.52,3.48,3.48,8482717,-0.020000000000000018,-0.571428571428572,3.5,0.040000000000000036
2024-04-25,3.45,3.53,3.45,3.48,8119608,0.029999999999999805,0.8695652173912987,3.49,0.07999999999999963
2024-04-24,3.47,3.47,3.45,3.46,8342357,-0.010000000000000231,-0.2881844380403525,3.46,0.020000000000000018
2024-04-23,3.49,3.5,3.45,3.47,8668551,-0.020000000000000018,-0.5730659025787971,3.475,0.04999999999999982
2024-04-22,3.47,3.5,3.46,3.47,7486926,0.0,0.0,3.48,0.040000000000000036
2024-04-19,3.48,3.5,3.45,3.48,8575199,0.0,0.0,3.475,0.04999999999999982
2024-04-18,3.51,3.52,3.48,3.48,11130400,-0.029999999999999805,-0.8547008547008492,3.5,0.040000000000000036
2024-04-17,3.5,3.53,3.49,3.51,10386980,0.009999999999999787,0.28571428571427965,3.51,0.03999999999999959
2024-04-16,3.52,3.54,3.47,3.5,11435310,-0.020000000000000018,-0.5681818181818187,3.505,0.06999999999999984
2024-04-15,3.55,3.55,3.48,3.48,10859500,-0.06999999999999984,-1.9718309859154886,3.5149999999999997,0.06999999999999984
2024-04-05,3.56,3.57,3.52,3.57,7255862,0.009999999999999787,0.2808988764044884,3.545,0.04999999999999982
2024-04-04,3.65,3.65,3.62,3.65,7976119,0.0,0.0,3.635,0.029999999999999805
